ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2008,8,10,0,19,Estádio Olímpico Nilton Santos,Leandro Pedro Vuaden,Botafogo,Palmeiras,Ney Franco,Vanderlei Luxemburgo,8,3,12800000,22700000,28.1,27,1,0,0,0,2,6,16,7,6,13,5,5,0,2,9,22,2,11
2008,8,20,3,21,Estádio Olímpico Nilton Santos,Giulliano Bozzano,Botafogo,Cruzeiro,Ney Franco,Adilson Batista,4,2,16000000,23250000,26,25.1,1,0,0,0,5,9,14,11,11,12,4,4,0,2,10,16,3,9
2008,8,30,6,23,Estádio Olímpico Nilton Santos,Paulo César de Oliveira,Botafogo,Náutico,Ney Franco,Roberto Fernandes,4,18,15800000,6850000,27.6,27.7,1,1,1,0,4,6,14,16,14,14,2,4,2,0,15,13,8,7
2008,9,28,0,27,Estádio Olímpico Nilton Santos,Péricles Bassols Pegado Cortez,Botafogo,Fluminense,Ney Franco,Cuca,6,19,16800000,22750000,28.9,24.7,1,1,1,0,2,2,15,10,10,14,3,1,0,3,11,20,6,10
2008,10,18,6,30,Estádio Olímpico Nilton Santos,Carlos Simon,Botafogo,Santos FC,Ney Franco,Márcio Fernandes,6,13,19000000,12350000,26.4,27,0,1,0,0,3,7,18,11,11,18,3,3,1,3,18,20,10,10
2008,11,9,0,34,Estádio Olímpico Nilton Santos,Marcelo de Lima Henrique,Botafogo,Flamengo,Ney Franco,Caio Júnior,6,5,18700000,27100000,26.9,26.9,0,1,0,0,4,9,14,13,12,13,5,3,1,0,7,15,1,4
2008,11,22,6,36,Estádio Olímpico Nilton Santos,Antonio Hora Filho,Botafogo,Atlético-PR,Ney Franco,Geninho,9,14,8100000,10650000,25.8,25.3,2,2,1,0,6,11,16,14,11,16,5,1,2,1,6,17,2,9
2008,11,30,0,37,Estádio Olímpico Nilton Santos,Salvio Fagundes Filho,Botafogo,Figueirense FC,Ney Franco,Mário Sérgio,9,17,12250000,10450000,27.1,22.8,1,3,0,0,2,4,11,11,11,10,2,2,2,1,12,21,6,10
2008,5,17,6,2,Estádio Governador Magalhães Pinto,Paulo César de Oliveira,Cruzeiro,Botafogo,Adilson Batista,Cuca,3,2,22300000,13000000,24.6,25.1,1,0,1,0,3,8,14,23,22,12,3,3,1,0,12,16,4,8
2008,5,25,0,3,Estádio Governador Magalhães Pinto,Sergio da Silva Carvalho,Cruzeiro,Santos FC,Adilson Batista,Emerson Leão,2,7,22200000,18500000,25,26.9,4,0,1,0,5,8,15,22,21,15,2,0,1,0,8,14,3,8
2008,6,8,0,5,Estádio Governador Magalhães Pinto,Wilson Souza de Mendonça,Cruzeiro,Vasco da Gama,Adilson Batista,Antônio Lopes,1,4,22200000,11550000,25,25.7,1,0,0,0,3,8,16,8,8,15,2,4,2,1,18,19,5,11
2008,6,21,6,7,Estádio Governador Magalhães Pinto,Djalma José Beltrami Teixeira,Cruzeiro,Figueirense FC,Adilson Batista,Guilherme Macuglia,3,13,24750000,10000000,25.6,25.1,3,0,1,0,6,2,9,13,13,9,4,3,2,1,16,11,11,6
2008,6,29,0,8,Estádio Governador Magalhães Pinto,Marcelo de Lima Henrique,Cruzeiro,São Paulo,Adilson Batista,Muricy Ramalho,3,6,27200000,33500000,25.4,28.3,1,1,1,0,3,4,19,15,15,18,3,3,1,2,17,17,7,9
2008,7,16,3,12,Estádio Governador Magalhães Pinto,André Luiz de Freitas Castro,Cruzeiro,Atlético-PR,Adilson Batista,Roberto Fernandes,2,13,23850000,11900000,24.8,24.8,1,0,0,0,10,3,11,15,14,11,5,4,2,1,22,11,11,3
2008,8,7,4,18,Estádio Governador Magalhães Pinto,Paulo César de Oliveira,Cruzeiro,Internacional,Adilson Batista,Tite,2,9,29200000,17750000,25.7,29.7,2,0,1,0,4,4,15,18,18,14,10,5,2,2,16,23,7,6
2008,8,16,6,20,Estádio Governador Magalhães Pinto,Evandro Rogerio Roman,Cruzeiro,EC Vitória,Adilson Batista,Vágner Mancini,2,6,28450000,6800000,26.3,26.3,2,1,1,0,5,5,14,13,12,14,5,1,2,0,10,12,5,3
2008,8,31,0,23,Estádio Governador Magalhães Pinto,Salvio Fagundes Filho,Cruzeiro,Coritiba FC,Adilson Batista,Dorival Júnior,3,7,35500000,13200000,25,24.6,1,1,1,0,5,9,12,9,8,11,6,4,1,0,13,18,5,8
2008,10,2,4,28,Estádio Governador Magalhães Pinto,Carlos Simon,Cruzeiro,Sport Recife,Adilson Batista,Nelsinho Baptista,5,11,26100000,6600000,24.7,28,1,0,0,0,5,4,19,21,19,19,3,3,1,2,11,14,5,7
2008,10,9,4,29,Estádio Governador Magalhães Pinto,Leandro Pedro Vuaden,Cruzeiro,Ipatinga FC,Adilson Batista,Márcio Bittencourt,5,19,28150000,4450000,24.9,26.2,1,0,1,0,5,4,18,18,18,18,1,4,4,1,10,12,4,3
2008,10,29,3,32,Estádio Governador Magalhães Pinto,Héber Lopes,Cruzeiro,Grêmio,Adilson Batista,Celso Roth,4,1,31400000,21300000,26,24.5,3,0,1,0,3,8,13,10,10,12,2,4,0,1,19,16,8,10
2008,11,9,0,34,Estádio Governador Magalhães Pinto,Leonardo Gaciba da Silva,Cruzeiro,Fluminense,Adilson Batista,Renê Simões,4,14,32000000,18550000,24.2,26.3,1,0,0,0,7,4,15,11,10,12,1,2,1,0,12,8,4,2
2008,11,23,0,36,Estádio Governador Magalhães Pinto,Carlos Simon,Cruzeiro,Flamengo,Adilson Batista,Caio Júnior,4,3,20900000,32300000,24.5,27.9,3,2,1,0,9,4,14,13,12,14,5,4,1,0,9,15,3,6
2008,5,11,0,1,Estádio Jornalista Mário Filho,Héber Lopes,Flamengo,Santos FC,Caio Júnior,Emerson Leão,1,17,27400000,10000000,26.8,21.7,3,1,2,0,5,7,17,14,14,16,4,3,0,2,14,13,7,5
2008,6,7,6,5,Estádio Jornalista Mário Filho,Leandro Pedro Vuaden,Flamengo,Figueirense FC,Caio Júnior,Guilherme Macuglia,2,11,26400000,6900000,26.5,25.5,5,0,4,0,6,1,20,18,17,18,1,1,3,2,13,7,8,3
2008,7,5,6,9,Estádio Jornalista Mário Filho,Jailson Macedo Freitas,Flamengo,Náutico,Caio Júnior,Leandro Machado,1,6,28600000,7550000,26.9,26.4,3,0,2,0,3,5,20,20,16,20,3,1,0,3,14,18,6,4
2008,7,13,0,11,Estádio Jornalista Mário Filho,Djalma José Beltrami Teixeira,Flamengo,Vasco da Gama,Caio Júnior,Antônio Lopes,1,8,27750000,11250000,26.4,26.9,3,1,2,0,5,7,14,13,13,14,3,4,0,1,12,8,4,3
2008,7,27,0,15,Estádio Jornalista Mário Filho,Salvio Fagundes Filho,Flamengo,Botafogo,Caio Júnior,Ney Franco,2,10,23400000,14300000,27.3,27.7,0,0,0,0,2,5,18,17,16,16,2,2,0,1,7,15,3,8
2008,8,3,0,17,Estádio Jornalista Mário Filho,Carlos Simon,Flamengo,Cruzeiro,Caio Júnior,Adilson Batista,4,2,26550000,26350000,25.3,25.6,1,2,0,0,4,4,10,12,12,8,1,2,3,2,12,13,7,6
2008,8,9,6,19,Estádio Jornalista Mário Filho,Sergio da Silva Carvalho,Flamengo,Atlético-PR,Caio Júnior,Tico dos Santos,7,14,25900000,11700000,25.1,24.3,1,0,0,0,6,8,17,12,10,17,2,3,3,1,14,6,6,1
2008,8,21,4,21,Estádio Jornalista Mário Filho,Wilson Luiz Seneme,Flamengo,Grêmio,Caio Júnior,Celso Roth,6,1,28400000,18500000,27.5,25.5,2,1,1,0,6,5,19,19,18,19,5,3,1,0,13,19,6,5
2008,9,27,6,27,Estádio Jornalista Mário Filho,Ricardo Marques Ribeiro,Flamengo,Sport Recife,Caio Júnior,Nelsinho Baptista,5,10,29100000,7250000,28.1,28.7,2,1,0,0,8,4,15,9,9,12,4,2,0,0,10,13,5,4
2008,10,23,4,31,Estádio Jornalista Mário Filho,Carlos Simon,Flamengo,Coritiba FC,Caio Júnior,Dorival Júnior,5,6,26200000,18300000,26.7,24.7,5,0,2,0,7,2,17,20,18,16,1,2,1,1,15,9,4,5
2008,11,1,6,33,Estádio Jornalista Mário Filho,Héber Lopes,Flamengo,Portuguesa,Caio Júnior,Vágner Benazzi,5,15,33200000,6850000,28.2,27.1,2,2,1,0,2,10,15,20,18,12,2,3,2,1,9,13,2,8
2008,6,1,0,4,Estádio Eládio de Barros Carvalho,Wilson Luiz Seneme,Náutico,Botafogo,Leandro Machado,Geninho,4,9,5300000,15800000,26.8,26.7,3,0,1,0,3,5,17,20,19,17,4,1,2,1,6,14,0,4
